summary_type,model_variant,attack_variant,threshold,config_label,mode,p_delete,p_add,max_additions,target_node,true_label,purified_pred,purified_is_correct,smoothed_pred,is_correct,reported_certified_radius,reported_asymmetric_total_radius,reported_asymmetric_delete_budget,reported_asymmetric_add_budget,reported_runner_up_asymmetric_total_radius,pA_lower,target_edge_retention,selection_status,had_correct_candidate
oracle-best-correct,clean-training,clean-training,0.01,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,2313,2,0,0,0,0,0,0,0,0,0,0.9702473281193681,0.6,fallback-low-noise,0
oracle-best-correct,clean-training,clean-training,0.01,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,1922,0,0,1,0,1,0,0,0,0,0,0.9811771485586084,0.3333333333333333,best-correct-radius,1
oracle-best-correct,clean-training,clean-training,0.01,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,1866,3,3,1,3,1,0,0,0,0,0,0.9752825416552515,0.0,best-correct-radius,1
oracle-best-correct,clean-training,clean-training,0.01,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,2654,2,0,0,0,0,0,0,0,0,0,0.9702473281193681,0.25,fallback-low-noise,0
oracle-best-correct,clean-training,clean-training,0.01,sparse-asym-0.05,sparse-edge-flip,0.05,2e-05,160,2673,4,4,1,4,1,1,1,1,0,1,0.9752825416552515,0.5,best-correct-radius,1
oracle-best-correct,clean-training,clean-training,0.01,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,2149,3,0,0,0,0,0,0,0,0,0,0.9811771485586084,0.0,fallback-low-noise,0
oracle-best-correct,clean-training,clean-training,0.01,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,2475,3,0,0,0,0,0,0,0,0,0,0.9811771485586084,1.0,fallback-low-noise,0
oracle-best-correct,clean-training,clean-training,0.01,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,2488,1,0,0,1,1,5,0,0,0,0,0.9811771485586084,0.5,best-correct-radius,1
oracle-best-correct,clean-training,clean-training,0.01,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,2576,0,2,0,2,0,0,0,0,0,0,0.9656375692128542,0.75,fallback-low-noise,0
oracle-best-correct,clean-training,clean-training,0.01,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,2195,0,0,1,0,1,0,0,0,0,0,0.9344582277457292,0.42857142857142855,best-correct-radius,1
oracle-best-correct,clean-training,clean-training,0.01,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,1873,3,0,0,0,0,0,0,0,0,0,0.9492398681704209,0.625,fallback-low-noise,0
oracle-best-correct,clean-training,clean-training,0.02,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,2313,2,0,0,0,0,0,0,0,0,0,0.9702473281193681,0.6,fallback-low-noise,0
oracle-best-correct,clean-training,clean-training,0.02,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,1922,0,0,1,0,1,0,0,0,0,0,0.9752825416552515,0.3333333333333333,best-correct-radius,1
oracle-best-correct,clean-training,clean-training,0.02,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,1866,3,3,1,3,1,0,0,0,0,0,0.9702473281193681,0.0,best-correct-radius,1
oracle-best-correct,clean-training,clean-training,0.02,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,2654,2,0,0,0,0,0,0,0,0,0,0.9811771485586084,0.25,fallback-low-noise,0
oracle-best-correct,clean-training,clean-training,0.02,sparse-asym-0.05,sparse-edge-flip,0.05,2e-05,160,2673,4,4,1,4,1,1,1,1,0,1,0.9811771485586084,0.5,best-correct-radius,1
oracle-best-correct,clean-training,clean-training,0.02,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,2149,3,0,0,0,0,0,0,0,0,0,0.9612958817839642,0.0,fallback-low-noise,0
oracle-best-correct,clean-training,clean-training,0.02,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,2475,3,0,0,0,0,0,0,0,0,0,0.9811771485586084,1.0,fallback-low-noise,0
oracle-best-correct,clean-training,clean-training,0.02,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,2488,1,0,0,1,1,5,0,0,0,0,0.9811771485586084,0.5,best-correct-radius,1
oracle-best-correct,clean-training,clean-training,0.02,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,2576,0,2,0,2,0,0,0,0,0,0,0.9702473281193681,0.75,fallback-low-noise,0
oracle-best-correct,clean-training,clean-training,0.02,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,2195,0,0,1,0,1,0,0,0,0,0,0.9380570722013619,0.42857142857142855,best-correct-radius,1
oracle-best-correct,clean-training,clean-training,0.02,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,1873,3,0,0,0,0,0,0,0,0,0,0.9612958817839642,0.625,fallback-low-noise,0
oracle-best-correct,clean-training,clean-training,0.05,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,2313,2,2,1,2,1,0,0,0,0,0,0.9571436873657766,0.2,best-correct-radius,1
oracle-best-correct,clean-training,clean-training,0.05,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,1922,0,0,1,0,1,0,0,0,0,0,0.9752825416552515,0.3333333333333333,best-correct-radius,1
oracle-best-correct,clean-training,clean-training,0.05,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,1866,3,3,1,3,1,0,0,0,0,0,0.9752825416552515,0.0,best-correct-radius,1
oracle-best-correct,clean-training,clean-training,0.05,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,2654,2,0,0,0,0,0,0,0,0,0,0.9612958817839642,0.0,fallback-low-noise,0
oracle-best-correct,clean-training,clean-training,0.05,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,2673,4,4,1,4,1,0,0,0,0,0,0.9811771485586084,0.16666666666666666,best-correct-radius,1
oracle-best-correct,clean-training,clean-training,0.05,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,2149,3,0,0,0,0,0,0,0,0,0,0.9656375692128542,0.0,fallback-low-noise,0
