summary_type,model_variant,attack_variant,threshold,config_label,mode,p_delete,p_add,max_additions,target_node,true_label,purified_pred,purified_is_correct,smoothed_pred,is_correct,reported_certified_radius,reported_asymmetric_total_radius,reported_asymmetric_delete_budget,reported_asymmetric_add_budget,reported_runner_up_asymmetric_total_radius,pA_lower,target_edge_retention,selection_status,had_correct_candidate
oracle-best-correct,clean-training,clean-training,0.01,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,2313,2,0,0,0,0,0,0,0,0,0,0.9962067613450979,0.8,fallback-low-noise,0
oracle-best-correct,clean-training,clean-training,0.01,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,1922,0,0,1,0,1,0,0,0,0,0,0.9881691118432345,0.3333333333333333,best-correct-radius,1
oracle-best-correct,clean-training,clean-training,0.01,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,1866,3,3,1,3,1,0,0,0,0,0,0.9859553296094573,0.0,best-correct-radius,1
oracle-best-correct,clean-training,clean-training,0.01,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,2654,2,2,1,2,1,0,0,0,0,0,0.9757636551491594,0.3333333333333333,best-correct-radius,1
oracle-best-correct,clean-training,clean-training,0.01,sparse-asym-0.02,sparse-edge-flip,0.02,1e-05,96,2673,4,4,1,4,1,1,1,1,0,1,0.9939894201208139,0.5,best-correct-radius,1
oracle-best-correct,clean-training,clean-training,0.01,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,2149,3,0,0,0,0,0,0,0,0,0,0.9803906244972709,0.0,fallback-low-noise,0
oracle-best-correct,clean-training,clean-training,0.01,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,2475,3,0,0,0,0,0,0,0,0,0,0.9950118925598964,1.0,fallback-low-noise,0
oracle-best-correct,clean-training,clean-training,0.01,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,2488,1,1,1,1,1,5,0,0,0,0,0.9962067613450979,0.0,best-correct-radius,1
oracle-best-correct,clean-training,clean-training,0.01,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,2576,0,0,1,0,1,1,1,1,0,1,0.9962067613450979,0.5,best-correct-radius,1
oracle-best-correct,clean-training,clean-training,0.01,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,2195,0,6,0,6,0,0,0,0,0,0,0.9631944923941569,0.4,fallback-low-noise,0
oracle-best-correct,clean-training,clean-training,0.01,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,1873,3,0,0,0,0,0,0,0,0,0,0.9757636551491594,0.625,fallback-low-noise,0
oracle-best-correct,clean-training,clean-training,0.02,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,2313,2,0,0,0,0,0,0,0,0,0,0.9962067613450979,0.8,fallback-low-noise,0
oracle-best-correct,clean-training,clean-training,0.02,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,1922,0,0,1,0,1,0,0,0,0,0,0.9905036977241862,0.3333333333333333,best-correct-radius,1
oracle-best-correct,clean-training,clean-training,0.02,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,1866,3,3,1,3,1,0,0,0,0,0,0.9838221358073134,0.0,best-correct-radius,1
oracle-best-correct,clean-training,clean-training,0.02,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,2654,2,2,1,2,1,0,0,0,0,0,0.9783867013002708,0.3333333333333333,best-correct-radius,1
oracle-best-correct,clean-training,clean-training,0.02,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,2673,4,4,1,4,1,1,1,1,0,1,0.9950118925598964,0.5,best-correct-radius,1
oracle-best-correct,clean-training,clean-training,0.02,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,2149,3,0,0,0,0,0,0,0,0,0,0.9764147804104861,0.0,fallback-low-noise,0
